road_name,road_ID,num_lanes_in,num_lanes_out,week_days_traffic_in,week_days_traffic_out,weekend_traffic_in,weekend_traffic_out,peak_traffic_time_in,peak_traffic_in,day_time_traffic_in,all_day_traffic_in,peak_traffic_time_out,peak_traffic_out,all_day_traffic_out,day_time_traffic_out,all_day_speed_in,all_day_speed_out,mor_speed_in,mor_speed_out,dt_speed_in,dt_speed_out,aft_speed_in,aft_speed_out
성산로,3005060,4,4,42731,42551,37620,36351,10,2638,28553,43341,17,2840,43889,26905,28.3,28.2,28,33.2,27.6,29.6,28.4,19.8
사직로,3100005,3,3,45811,39397,35798,33311,8,2990,29612,43452,17,2278,37770,23664,27.8,27.7,28,30.8,27.3,27.9,26.8,24.1
자하문로,3100012,2,2,19855,17758,15503,14159,7,1499,12980,18795,18,1313,16894,10154,26.5,30,25.8,35.4,23.7,28.1,27.8,26.8
율곡로,3100010,3,3,32719,28340,28156,24646,16,1766,19784,31436,16,1561,27089,17643,20,18.6,24.2,23.3,19.6,17.1,15.4,14.8
창경궁로,3005008,4,2,29226,17904,26415,16087,8,2157,18235,28398,19,1039,16999,9715,20.7,23.7,22.6,29.8,18.9,23.7,19.1,18.7
종로,3100013,4,4,34799,38599,30970,33857,14,1937,21961,34248,14,2148,37918,23950,20.2,20.7,23.1,28,18.5,18.7,17.7,16
퇴계로,3101011,3,2,24470,13065,20935,12243,10,1425,15548,23988,13,675,12511,7575,18.5,21.8,24.4,27,16.6,21.5,14.1,17.6
동호로,3005001,2,2,37938,37805,31872,29888,8,2142,23851,35517,15,2018,34829,22520,22.2,24,25,29.2,20.1,24,20.3,18.1
장충단로,3101021,3,3,25213,34095,20331,26016,9,1470,16079,24126,16,2068,32549,22360,21.9,24.4,28.1,30.2,19.9,23.8,19.3,18.7
세종대로,2005001,6,5,46226,43039,33049,31802,16,2735,30090,42640,11,2423,40269,27211,21.4,22.4,25.3,25,21.3,21.9,17.7,19.5
을지로,3101006,2,4,17271,20551,14306,15220,12,938,10197,16580,17,1111,18972,12098,20.7,21,25.9,27.1,20,20.1,15.9,17
