"","road_name","x","y","group"
"1","강남대로",127.0111,37.5292,"1"
"2","강서로",126.838,37.554,"2"
"3","경인로",126.9041,37.5157,"4"
"4","경춘북로",127.1035,37.6183,"3"
"5","금하로",126.9068,37.4523,"2"
"6","김포대로",126.7983,37.5832,"3"
"7","남부순환로",126.9758,37.4764,"4"
"8","도봉로",127.0302,37.6107,"1"
"9","동부간선도로",127.0712,37.6042,"4"
"10","동소문로",127.0211,37.5983,"4"
"11","동일로",127.0663,37.5464,"4"
"12","동호로",127.0014,37.5703,"4"
"13","뚝섬로",127.0474,37.5407,"4"
"14","망우로",127.0623,37.5893,"2"
"15","문성로",126.922,37.4786,"2"
"16","반포대로",126.995,37.5177,"1"
"17","밤고개로",127.1056,37.4781,"3"
"18","백제고분로",127.0952,37.5025,"2"
"19","사직로",126.9707,37.5757,"4"
"20","사평대로",127.0043,37.5025,"4"
"21","서빙고로",126.9922,37.5203,"4"
"22","성산로",126.9448,37.5642,"4"
"23","세종대로",126.9753,37.5628,"1"
"24","소파로",126.985,37.5569,"3"
"25","언주로",127.0436,37.502,"4"
"26","여의대방로",126.9502,37.5294,"4"
"27","연희로",126.9348,37.5743,"2"
"28","영등포로",126.9028,37.5201,"4"
"29","오리로",126.8785,37.4441,"3"
"30","율곡로",126.9962,37.5762,"1"
"31","을지로",126.9947,37.5664,"2"
"32","자하문로",126.9674,37.5892,"2"
"33","장충단로",127.0058,37.5599,"1"
"34","종로",127.0006,37.5709,"1"
"35","진흥로",126.9566,37.6077,"3"
"36","창경궁로",126.9982,37.5655,"2"
"37","천호대로",127.0488,37.5697,"1"
"38","테헤란로",127.0474,37.504,"1"
"39","통일로",126.97,37.5614,"4"
"40","퇴계로",126.9978,37.5615,"2"
"41","평창문화로",126.9728,37.6073,"3"
"42","화곡로",126.8624,37.5712,"4"
"43","화랑로",127.0519,37.6086,"4"
