road_name,num_lanes_in,num_lanes_out,all_day_traffic_in,all_day_traffic_out,traffic_per_lane_in,traffic_per_lane_out,all_day_speed_in,all_day_speed_out,mor_speed_in,mor_speed_out,dt_speed_in,dt_speed_out,aft_speed_in,aft_speed_out,mor_speed_day_in,mor_speed_day_out,dt_speed_day_in,dt_speed_day_out,aft_speed_day_in,aft_speed_day_out,peak_traffic_in,peak_traffic_out,day_time_traffic_in,day_time_traffic_out,weekend_traffic_in,weekend_traffic_out,peak_traffic_day_in,peak_traffic_day_out,day_time_day_in,day_time_day_out,weekend_day_in,weekend_day_out
동부간선도로,3,3,59840,58765,19946.66667,19588.33333,51.6,55.3,43.3,60.6,56.3,60.9,48.2,41.4,0.839147287,1.095840868,1.091085271,1.101265823,0.934108527,0.748643761,3095,3153,35105,31543,37620,36351,5.172125668,5.365438611,58.66477273,53.67650813,62.86764706,61.85824896
김포대로,4,3,28981,24514,7245.25,8171.333333,42.3,37.9,35.5,39.8,46.9,38.8,33.8,35.3,0.839243499,1.050131926,1.108747045,1.023746702,0.799054374,0.931398417,2157,1610,20660,16206,35798,33311,7.442807357,6.567675614,71.2880853,66.10916211,123.5223077,135.8856164
동소문로,3,3,31033,31521,10344.33333,10507,19.7,21.6,18.6,30,19,20.5,19.6,14.1,0.944162437,1.388888889,0.964467005,0.949074074,0.994923858,0.652777778,1951,1753,19072,17697,15503,14159,6.286855928,5.561371784,61.45715851,56.14352337,49.95649792,44.91926018
자하문로,2,2,18795,16894,9397.5,8447,26.5,30,25.8,35.4,23.7,28.1,27.8,26.8,0.973584906,1.18,0.894339623,0.936666667,1.049056604,0.893333333,1499,1313,12980,10154,28156,24646,7.975525406,7.771990056,69.06092046,60.104179,149.8057994,145.8861134
성산로,4,4,43341,43889,10835.25,10972.25,28.3,28.2,28,33.2,27.6,29.6,28.4,19.8,0.989399293,1.177304965,0.975265018,1.04964539,1.003533569,0.70212766,2638,2840,28553,26905,26415,16087,6.086615445,6.470869694,65.87988279,61.30237645,60.94690939,36.65383126
경인로,4,3,24230,30391,6057.5,10130.33333,18.9,21.6,18.7,26.5,19.1,21.7,19.1,16.9,0.989417989,1.226851852,1.010582011,1.00462963,1.010582011,0.782407407,1375,1761,15174,18334,30970,33857,5.674783326,5.794478629,62.62484523,60.32707051,127.8167561,111.4046922
경춘북로,3,3,27676,19196,9225.333333,6398.666667,33.5,38.3,33.2,38.5,35.2,37.6,29.5,36.8,0.991044776,1.005221932,1.050746269,0.981723238,0.880597015,0.960835509,2245,1399,19505,13099,20935,12243,8.111721347,7.287976662,70.47622489,68.23817462,75.64315653,63.77891227
평창문화로,2,2,23254,15407,11627,7703.5,31.4,37.8,31.4,40.6,32.7,38.4,27.7,33.5,1,1.074074074,1.041401274,1.015873016,0.882165605,0.886243386,1556,1134,15593,10754,31872,29888,6.691321923,7.360290777,67.0551303,69.79944181,137.0602907,193.9897449
사직로,3,3,43452,37770,14484,12590,27.8,27.7,28,30.8,27.3,27.9,26.8,24.1,1.007194245,1.111913357,0.982014388,1.007220217,0.964028777,0.870036101,2990,2278,29612,23664,20331,26016,6.881156218,6.031241726,68.14876185,62.65289913,46.78956089,68.88006354
동일로,3,3,40513,35672,13504.33333,11890.66667,25,26.4,25.4,30.4,25.8,27.2,22.8,22,1.016,1.151515152,1.032,1.03030303,0.912,0.833333333,2482,1985,23159,21942,14306,15220,6.126428554,5.564588473,57.16436699,61.51042835,35.31212203,42.66651716
