"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"강남구","2017-09-28 15:00",0.006,0.3,0.036,0.017,20,8,127.0473248,37.5172363
"강남구","2017-09-27 18:00",0.005,0.4,0.023,0.024,42,27,127.0473248,37.5172363
"강남구","2017-09-28 01:00",0.004,0.3,0.008,0.022,11,5,127.0473248,37.5172363
"강남구","2017-09-28 02:00",0.005,0.3,0.011,0.019,13,6,127.0473248,37.5172363
"강남구","2017-09-28 10:00",0.005,0.3,0.013,0.023,9,3,127.0473248,37.5172363
"강남구","2017-09-28 03:00",0.005,0.3,0.015,0.014,12,6,127.0473248,37.5172363
"강남구","2017-09-27 20:00",0.005,0.4,0.017,0.024,34,21,127.0473248,37.5172363
"강남구","2017-09-27 21:00",0.004,0.3,0.01,0.027,18,10,127.0473248,37.5172363
"강남구","2017-09-28 05:00",0.005,0.3,0.013,0.014,11,7,127.0473248,37.5172363
"강남구","2017-09-27 22:00",0.004,0.3,0.011,0.022,18,10,127.0473248,37.5172363
"강남구","2017-09-28 13:00",0.004,0.3,0.033,0.014,15,5,127.0473248,37.5172363
"강남구","2017-09-27 16:00",0.005,0.5,0.036,0.031,47,30,127.0473248,37.5172363
"강남구","2017-09-27 24:00",0.005,0.3,0.007,0.025,12,4,127.0473248,37.5172363
"강남구","2017-09-27 17:00",0.005,0.4,0.033,0.029,47,30,127.0473248,37.5172363
"강남구","2017-09-28 08:00",0.005,0.3,0.007,0.025,9,6,127.0473248,37.5172363
"강남구","2017-09-27 19:00",0.006,0.4,0.017,0.028,40,23,127.0473248,37.5172363
"강남구","2017-09-28 14:00",0.005,0.3,0.034,0.018,17,6,127.0473248,37.5172363
"강남구","2017-09-28 12:00",0.005,0.3,0.022,0.019,14,3,127.0473248,37.5172363
"강남구","2017-09-28 11:00",0.005,0.3,0.014,0.022,11,3,127.0473248,37.5172363
"강남구","2017-09-28 09:00",0.005,0.4,0.006,0.028,12,3,127.0473248,37.5172363
"강남구","2017-09-28 07:00",0.005,0.3,0.009,0.021,10,7,127.0473248,37.5172363
"강남구","2017-09-28 06:00",0.004,0.3,0.011,0.015,10,7,127.0473248,37.5172363
"강남구","2017-09-28 04:00",0.004,0.3,0.012,0.016,13,6,127.0473248,37.5172363
"강남구","2017-09-27 23:00",0.005,0.3,0.012,0.021,11,5,127.0473248,37.5172363
"강동구","2017-09-27 18:00",0.004,0.5,0.027,0.023,61,25,127.123762,37.5301251
"강동구","2017-09-28 03:00",0.004,0.3,0.02,0.009,10,3,127.123762,37.5301251
"강동구","2017-09-27 22:00",0.004,0.4,0.009,0.029,9,4,127.123762,37.5301251
"강동구","2017-09-28 10:00",0.004,0.3,0.02,0.016,10,4,127.123762,37.5301251
"강동구","2017-09-27 17:00",0.004,0.6,0.041,0.025,71,34,127.123762,37.5301251
"강동구","2017-09-28 08:00",0.004,0.3,0.01,0.022,8,3,127.123762,37.5301251
"강동구","2017-09-28 09:00",0.005,0.3,0.016,0.017,9,4,127.123762,37.5301251
"강동구","2017-09-28 02:00",0.004,0.3,0.018,0.013,13,3,127.123762,37.5301251
"강동구","2017-09-28 12:00",0.004,0.3,0.025,0.017,26,7,127.123762,37.5301251
"강동구","2017-09-27 19:00",0.004,0.5,0.022,0.025,58,24,127.123762,37.5301251
"강동구","2017-09-28 04:00",0.004,0.3,0.018,0.011,14,3,127.123762,37.5301251
"강동구","2017-09-28 05:00",0.004,0.3,0.019,0.009,7,5,127.123762,37.5301251
"강동구","2017-09-28 07:00",0.003,0.3,0.009,0.019,15,6,127.123762,37.5301251
"강동구","2017-09-28 11:00",0.004,0.4,0.02,0.019,15,3,127.123762,37.5301251
"강동구","2017-09-27 23:00",0.004,0.4,0.007,0.028,17,10,127.123762,37.5301251
"강동구","2017-09-27 24:00",0.004,0.4,0.009,0.025,21,8,127.123762,37.5301251
"강동구","2017-09-27 21:00",0.003,0.3,0.024,0.012,15,0,127.123762,37.5301251
"강동구","2017-09-28 15:00",0.005,0.4,0.04,0.016,31,6,127.123762,37.5301251
"강동구","2017-09-28 01:00",0.004,0.3,0.016,0.015,17,8,127.123762,37.5301251
"강동구","2017-09-27 16:00",0.005,0.5,0.044,0.029,85,34,127.123762,37.5301251
"강동구","2017-09-28 14:00",0.004,0.3,0.039,0.018,26,4,127.123762,37.5301251
"강동구","2017-09-27 20:00",0.004,0.3,0.026,0.012,18,6,127.123762,37.5301251
"강동구","2017-09-28 06:00",0.004,0.3,0.014,0.014,8,5,127.123762,37.5301251
"강동구","2017-09-28 13:00",0.004,0.3,0.035,0.015,26,9,127.123762,37.5301251
"강북구","2017-09-28 15:00",0.004,0.3,0.048,0.011,21,8,NA,NA
"강북구","2017-09-28 05:00",0.002,0.2,0.011,0.006,5,5,NA,NA
"강북구","2017-09-28 10:00",0.003,0.2,0.017,0.016,6,3,NA,NA
"강북구","2017-09-27 24:00",0.002,0.2,0.013,0.011,6,3,NA,NA
"강북구","2017-09-28 09:00",0.002,0.3,0.008,0.022,5,3,NA,NA
"강북구","2017-09-28 02:00",0.002,0.2,0.013,0.008,5,3,NA,NA
"강북구","2017-09-27 19:00",0.003,0.3,0.034,0.009,49,30,NA,NA
"강북구","2017-09-27 17:00",0.003,0.4,0.041,0.006,51,35,NA,NA
"강북구","2017-09-27 18:00",0.003,0.3,0.037,0.007,46,29,NA,NA
"강북구","2017-09-27 21:00",0.002,0.3,0.012,0.021,27,16,NA,NA
"강북구","2017-09-28 11:00",0.003,0.2,0.027,0.009,6,3,NA,NA
"강북구","2017-09-28 14:00",0.003,0.2,0.045,0.012,16,5,NA,NA
"강북구","2017-09-28 03:00",0.003,0.2,0.013,0.007,5,3,NA,NA
"강북구","2017-09-28 01:00",0.002,0.2,0.009,0.011,7,3,NA,NA
"강북구","2017-09-27 16:00",0.003,0.4,0.05,0.009,52,35,NA,NA
"강북구","2017-09-28 04:00",0.002,0.2,0.011,0.007,6,3,NA,NA
"강북구","2017-09-27 22:00",0.002,0.3,0.012,0.014,15,8,NA,NA
"강북구","2017-09-27 20:00",0.003,0.3,0.023,0.014,46,30,NA,NA
"강북구","2017-09-27 23:00",0.003,0.3,0.012,0.012,9,5,NA,NA
"강북구","2017-09-28 07:00",0.002,0.2,0.008,0.012,5,3,NA,NA
"강북구","2017-09-28 08:00",0.002,0.2,0.003,0.02,5,3,NA,NA
"강북구","2017-09-28 06:00",0.002,0.2,0.009,0.01,5,3,NA,NA
"강북구","2017-09-28 12:00",0.003,0.2,0.033,0.008,10,0,NA,NA
"강북구","2017-09-28 13:00",0.003,0.2,0.04,0.01,10,0,NA,NA
"강서구","2017-09-28 02:00",0.005,0.3,0.018,0.016,12,5,126.8495382,37.5509786
"강서구","2017-09-28 08:00",0.006,0.3,0.009,0.025,15,3,126.8495382,37.5509786
"강서구","2017-09-27 19:00",0.005,0.5,0.019,0.029,63,35,126.8495382,37.5509786
"강서구","2017-09-28 03:00",0.005,0.3,0.018,0.015,20,5,126.8495382,37.5509786
"강서구","2017-09-28 11:00",0.006,0.3,0.028,0.015,36,13,126.8495382,37.5509786
"강서구","2017-09-28 10:00",0.005,0.3,0.017,0.019,18,6,126.8495382,37.5509786
"강서구","2017-09-28 12:00",0.005,0.3,0.039,0.012,20,10,126.8495382,37.5509786
"강서구","2017-09-28 01:00",0.004,0.3,0.018,0.014,0,9,126.8495382,37.5509786
