"","PARKING_CODE","PARKING_NAME","ADDR","CAPACITY","PAY_NM","LAT","LNG","RATES","TIME_RATE","ADD_RATES","ADD_TIME_RATE"
"1","173590","구룡공영주차빌딩(구)","서초구 양재동 301-6","107","유료","37.47419615","127.04595546","300","10","300","10"
"2","173498","구룡공원구립주차장(구)","서초구 양재동 399-0","132","유료","37.47153994","127.04876259","300","10","300","10"
"3","173474","구룡산1(구)","강남구 개포동 567-25","94","유료","37.4760669788","127.067284946","200","5","200","5"
"4","173389","구룡산2(구)","강남구 개포동 126-2","124","유료","37.47725982","127.06647741","200","5","200","5"
"5","173048","구름다리주차장(구)","양천구 신월동 915-4","52","유료","37.52421803","126.83288523","50","5","50","5"
"6","173285","구릉주차장(구)","동작구 신대방동 351-14","22","유료","37.49873369","126.92745018","150","5","150","5"
"7","1510252","구민회관앞 이륜자동차주차장(구)","중구 을지로6가 18-14 0","20","무료","37.56821519","127.00642423","0","0","0","0"
"27","911542","구산동마을공원지하공동주차장(구)","은평구 구산동 340-1","77","유료","37.61473937","126.9084649","100","5","100","5"
"28","1454227","구청사주변(구)","노원구 상계동 739-2","35","유료","37.65369823","127.05623614","250","5","0","0"
"63","1454231","구청사주변(구)","노원구 상계동 739-4","47","유료","37.65486819","127.05655869","250","5","0","0"
"110","1509677","국립의료원옆 노상공영주차장(구)","중구 을지로6가 18-79 0","16","유료","37.56699598","127.00612082","350","5","350","5"
"126","1555282","국민대앞북악주차(구)","성북구 정릉동 880-1","6","유료","37.6094152","126.99708657","150","5","300","10"
"132","1560292","국민대앞북악주차(구)","성북구 정릉동 880-1","44","유료","37.6098392","126.99521553","150","5","300","10"
"176","1545035","국민은행앞 노상주차장(구)","영등포구 여의도동 15-22","15","유료","37.5286178","126.91898609","1000","10","1000","10"
"191","1542982","국민일보사옥앞 노상주차장(구)","영등포구 여의도동 12-0","28","유료","37.52916042","126.9241268","1000","10","1000","10"
"219","1441337","금천구 시흥동 997-1(구)","금천구 시흥동 997-1","120","유료","37.45368598","126.89727773","100","5","0","0"
"220","172097","금호초등학교(건물)(구)","성동구 금호동2가 511-0","124","유료","37.55257521","127.02015861","100","5","100","5"
"221","1526016","기륭전자(구)","금천구 가산동 219-7","33","유료","37.47420571","126.88776809","500","10","500","10"
"254","1449828","길음시장(구)","성북구 길음동 1286-8","56","유료","37.60369981","127.02211219","150","5","150","5"
"255","1079122","길음역환승주차장(구)","성북구 하월곡동 104-112","147","유료","37.60423761","127.02581826","150","5","150","5"
"256","172321","까치공원공영주차장(구)","중랑구 면목동 570-0","90","유료","37.58344393","127.08734739","100","5","100","5"
"257","1384007","까치산 전통시장 고객주차장(구)","강서구 화곡동 342-16","19","유료","37.53154144","126.84786095","250","5","250","5"
"258","1552766","나들목공영주차장(구)","중랑구 중화동 304-36","117","유료","37.60000395","127.07815528","250","5","250","5"
"375","1451409","낙산성곽 버스전용 주차장(구)","종로구 창신동 615-62","9","무료","37.58024201","127.01003529","0","0","0","0"
"384","1452552","낙산성곽길 이륜자동차주차장(구)","종로구 창신동 67-2","23","무료","37.5722107","127.00957728","0","0","0","0"
"407","173578","난곡동제1공영주차장(舊신림3동 공영주차장)(구)","관악구 신림동 626-82","119","유료","37.47220821","126.92315827","50","5","50","5"
"408","1511395","남대문시장2번게이트앞 이륜자동차주차장(시)","중구 남대문로4가 3-6 0","8","무료","37.56081922","126.97756119","0","0","0","0"
"416","1511157","남대문시장3번게이트 이륜자동차주차장(시)","중구 남대문로3가 13-3 0","10","무료","37.56098007","126.97832641","0","0","0","0"
"426","1511188","남대문시장알파문구앞 이륜자동차주차장(시)","중구 남대문로4가 3-6 0","53","무료","37.56033077","126.97629081","0","0","0","0"
"479","1566863","남대문시장연세상가앞 이륜자동차주차장(시)","중구 남창동 235-1 0","19","무료","37.55760957","126.97647624","0","0","0","0"
"498","1511351","남대문시장자유상가앞 이륜차주차장(시)","중구 남대문로3가 13-3 0","14","무료","37.56121387","126.97961264","0","0","0","0"
"512","1384005","남부골목 전통시장 고객주차장(구)","강서구 화곡동 797-7","17","유료","37.53231129","126.86085655","250","5","250","5"
"513","1041840","남산동 공영주차장(구)","중구 남산동2가 30-4","49","유료","37.55923691","126.98562404","250","5","250","5"
"514","1511992","남산소파길 노상 공영주차장(구)","중구 예장동 8-172 0","13","유료","37.55669584","126.98540056","250","5","250","5"
"527","1509919","남평화시장앞 노상공영주차장(구)","중구 신당동 779-0 0","31","유료","37.56890012","127.01142731","500","5","500","5"
"558","173364","남현동제1공영주차장(舊남현동 거주자우선주차장)(구)","관악구 남현동 1063-1","65","유료","37.47570006","126.97929422","250","5","250","5"
"559","172564","냉천길 공영주차장(구)","강북구 미아동 756-1","103","유료","37.62400561","127.01953853","200","5","200","5"
"560","1574991","노원세무서 앞 공영주차장(구)","도봉구 창동 15-0","28","유료","37.65401238","127.05202441","250","5","0","0"
"588","1040225","논현로22길(구)","강남구 개포동 1266-0","100","유료","37.48150119","127.04781332","200","5","200","5"
"589","173440","논현로32길15(구)","강남구 도곡동 516-2","21","유료","37.48430646","127.04341808","300","5","300","5"
"590","1042410","논현초교(구)","강남구 논현동 168-0","192","유료","37.50822463","127.02626245","300","5","300","5"
"591","172900","누리주차장(구)","양천구 신정동 323-13","20","유료","37.51540127","126.86271381","150","5","150","5"
"592","1509189","뉴국제호텔 앞 노상 공영주차장(구)","중구 태평로1가 18-0 0","17","유료","37.56819564","126.97824564","600","5","600","5"
"609","172303","늘봄주차장(구)","중랑구 면목동 22-12","72","유료","37.58985533","127.09643555","100","5","100","5"
"610","172908","능골주차장(구)","양천구 신월동 152-38","61","유료","37.533186","126.82455218","50","5","50","5"
"611","171830","다동공원 제4부지 공영주차장(구)","중구 다동 39-3","15","유료","37.56823533","126.98025108","400","5","400","5"
"612","1510828","다동쉼터 노상공영주차장(구)","중구 다동 46-0 0","7","유료","37.56794477","126.98004106","600","5","600","5"
"619","172928","다락골주차장(구)","양천구 신정동 1158-1","102","유료","37.51614281","126.84966724","50","5","50","5"
"620","1415929","다목적 공영주차장(구)","금천구 독산동 971-0","46","유료","37.47633196","126.9018971","65","5","65","5"
"621","171941","다산동 공영주차장(구)","중구 신당동 432-1584","86","유료","37.55454233","127.00852431","150","5","150","5"
"622","1424206","다산아트공영주차장(구)","중구 신당동 432-612","76","유료","37.55167324","127.0047041","150","5","150","5"
"623","172941","달마을주차장(구)","양천구 목동 532-18","30","유료","37.54437302","126.87163762","50","5","50","5"
"624","1370506","답십리 부품상가 노상(구)","동대문구 답십리동 959-10","75","유료","37.56549705","127.05980409","500","10","500","10"
"699","172892","당곡주차장(구)","양천구 신월동 482-11","45","유료","37.52437054","126.84509862","50","5","50","5"
"700","1366869","당곡중학교공영 (지하주차장)(구)","관악구 봉천동 682-0","159","유료","37.49190539","126.93300345","50","5","50","5"
"701","173193","당산1동공영(구)","영등포구 당산동3가 6-1","91","유료","37.52376124","126.8996074","100","5","100","5"
"702","173208","당산2동(구)","영등포구 당산동 121-105","30","유료","37.52824898","126.90779447","150","5","150","5"
"703","1544852","당산고가 밑 이륜차 전용주차장(구)","영등포구 당산동5가 1-2","1","무료","37.53329412","126.90149297","0","0","0","0"
"704","1454200","(구)북부지법주변(구)","노원구 공릉동 594-0","18","유료","37.61998709","127.07728221","250","5","0","0"
"722","1454061","(구)북부지법주변(구)","노원구 공릉동 594-0","1","유료","37.62019862","127.0772157","250","5","0","0"
"723","1441370","32공영주차장(구)","강남구 신사동 564-0","26","유료","37.52166886","127.02679454","400","5","400","5"
"724","1550995","KBS별관뒤 노상주차장(구)","영등포구 여의도동 45-0","26","유료","37.51947175","126.92944048","500","5","500","5"
"750","1551688","KBS별관옆 노상주차장(구)","영등포구 여의도동 46-0","20","유료","37.51920439","126.93006627","1000","10","1000","10"
"770","1543663","KBS본관 앞 노상주차장(구)","영등포구 여의도동 17-0","71","유료","37.52627185","126.91849089","1000","10","1000","10"
"841","1541973","KBS연구관앞 노상주차장(구)","영등포구 여의도동 18-1","59","유료","37.52644619","126.91466702","1000","10","1000","10"
"900","1526914","LG텔레콤(구)","금천구 가산동 60-36","43","유료","37.47523217","126.88828472","500","10","500","10"
"943","1545505","MBC방송국뒤 노상주차장(구)","영등포구 여의도동 31-0","63","유료","37.52298965","126.9317859","1000","10","1000","10"
"61","1526974","SJ테크노빌(구)","금천구 가산동 60-19","37","유료","37.47748197","126.88465558","500","10","500","10"
"43","1547973","SK리더스뷰도로변 노상주차장(구)","영등포구 문래동3가 55-13","11","유료","37.51856603","126.89871696","500","10","500","10"
"54","1544561","SK리더스뷰도로변 노상주차장(구)","영등포구 문래동3가 55-13","19","유료","37.51841561","126.90030011","500","10","500","10"
"73","1545405","가든예식장 앞 노상주차장(구)","영등포구 여의도동 45-1","7","유료","37.51986143","126.92839871","1000","10","1000","10"
"80","173776","가락1동공영(구)","송파구 가락동 98-1","48","유료","37.49442481","127.11884506","250","5","250","5"
"81","173885","가락2동 공영(구)","송파구 가락동 80-2","84","유료","37.49483782","127.11962395","250","5","250","5"
"82","1366430","가로공원주차장(구)","양천구 신월동 263-0","376","유료","37.53710741","126.8290595","150","5","150","5"
"83","173160","가산동공영주차장(구)","금천구 가산동 148-28","130","유료","37.47666086","126.89557749","65","5","65","5"
"84","1526627","가산디지털환승(구)","금천구 가산동 35-2","41","유료","37.48515886","126.88120487","150","5","0","0"
"125","1527034","가산중뒤(구)","금천구 독산동 300-21","20","유료","37.46875025","126.89349793","500","10","500","10"
"145","1525742","가산중뒤(구)","금천구 독산동 300-21","23","유료","37.46776273","126.89423009","500","10","500","10"
"168","1525590","가산중앞(구)","금천구 독산동 300-26","20","유료","37.46837106","126.89497973","500","10","500","10"
"188","1454285","가압장앞(구)","노원구 상계동 117-6","25","유료","37.66620704","127.07569376","150","5","0","0"
"213","1504317","가양3동 황금내공원길(구)","강서구 가양동 1485-0","80","유료","37.56226342","126.86310069","100","5","100","5"
"293","968483","가오리 공영주차장(구)","강북구 수유동 349-3","120","유료","37.64160736","127.01498164","150","5","150","5"
"294","172777","갈현1동공영주차장(구)","은평구 갈현동 9-112","61","유료","37.62648828","126.91533796","100","5","100","5"
"295","1033125","강남관광정보센터-공영주차장(구)","강남구 압구정동 428-0","360","유료","37.52701729","127.02647115","400","5","400","5"
"296","172144","강변(건물)(구)","성동구 성수동1가 366-1","107","유료","37.53696583","127.04904251","100","5","100","5"
"297","1366395","개봉1동 노외주차장(시)","구로구 개봉동 134-8","134","유료","37.50001376","126.8510351","100","5","100","5"
"298","1366394","개봉1동마을공동주차장(구)","구로구 개봉동 416-2","56","유료","37.50455714","126.84608459","50","5","50","5"
"299","173860","개운산(구)","성북구 종암동 54-182","27","유료","37.59688064","127.02640598","900","30","300","10"
"300","173468","개포동공원(구)","강남구 개포동 183-2","149","유료","37.48949036","127.06623841","200","5","200","5"
"301","1042423","개포로24길33(구)","강남구 개포동 1204-0","36","유료","37.47715365","127.04992891","200","5","200","5"
"302","1277148","개화산역(시)","강서구 방화동 526-16","310","유료","37.5725151417","126.804391913","100","5","100","5"
"303","173886","거여동 공영주차장(구)","송파구 거여동 33-16","137","유료","37.49227702","127.15038338","50","5","50","5"
"304","1535915","거주자우선주차장(구)","성동구 마장동 783-7","124","유료","37.56642634","127.04498517","250","5","250","5"
"341","1534666","거주자우선주차장(구)","성동구 성수동2가 276-5","58","유료","37.54066358","127.05569333","250","5","250","5"
"399","1536649","거주자우선주차장(구)","성동구 성수동2가 277-43","232","유료","37.54645235","127.06297334","250","5","250","5"
"6231","1522166","거주자우선주차장(구)","강동구 명일동 51-1","51","유료","37.55178222","127.15420013","250","5","250","5"
"673","1521849","거주자우선주차장(구)","강동구 성내동 540-0","32","유료","37.53026154","127.12433892","250","5","250","5"
"705","1565653","거주자우선주차장(시)","성동구 옥수동 343-4","8","유료","37.54190287","127.01697324","100","5","100","5"
"713","172695","건영백화점앞(구)","노원구 중계동 507-0","137","유료","37.63958481","127.06519865","250","5","250","5"
"714","173169","견인보관소 노외(구)","금천구 가산동 614-34","55","유료","37.48299347","126.87581985","300","10","0","0"
"715","1415512","견인보관소(구)","동대문구 휘경동 361-0","40","유료","37.58901132","127.0691229","500","10","500","10"
"716","1505123","경남 공영주차장(구)","마포구 서교동 376-5","22","유료","37.55540693","126.92088322","250","5","250","5"
"738","1551387","경남아파트 앞 노상주차장(구)","영등포구 영등포동7가 56-0","19","유료","37.52442181","126.90227549","200","10","200","10"
"757","1544223","경남아파트 앞 노상주차장(구)","영등포구 당산동3가 56-0","7","유료","37.52456958","126.90209724","200","10","200","10"
"764","1545771","경도상가앞 노상주차장(구)","영등포구 여의도동 44-0","16","유료","37.51990257","126.93056312","1000","10","1000","10"
"780","1449826","경동고(구)","성북구 삼선동3가 43-1","124","유료","37.58574745","127.01498402","150","5","150","5"
"781","1451268","경복궁역 이륜차주차장(구)","종로구 내자동 67-2","5","무료","37.57623266","126.9723516","0","0","0","0"
