"","PARKING_CODE","PARKING_NAME","ADDR","CAPACITY","PAY_NM","LAT","LNG","RATES","TIME_RATE","ADD_RATES","ADD_TIME_RATE"
"1","1536649","거주자우선주차장(구)","성동구 성수동2가 277-43","232","유료","37.54522063","127.06177793","250","5","250","5"
"99","1522166","거주자우선주차장(구)","강동구 명일동 51-1","51","유료","37.55178222","127.15420013","250","5","250","5"
"149","1521849","거주자우선주차장(구)","강동구 성내동 540-0","32","유료","37.53026154","127.12433892","250","5","250","5"
"181","1565653","거주자우선주차장(시)","성동구 옥수동 343-4","8","유료","37.54190287","127.01697324","100","5","100","5"
"189","172695","건영백화점앞(구)","노원구 중계동 507-0","137","유료","37.63958481","127.06519865","250","5","250","5"
"190","173169","견인보관소 노외(구)","금천구 가산동 614-34","55","유료","37.48299347","126.87581985","300","10","0","0"
"191","1415512","견인보관소(구)","동대문구 휘경동 361-0","40","유료","37.58901132","127.0691229","500","10","500","10"
"192","1505123","경남 공영주차장(구)","마포구 서교동 376-5","22","유료","37.55540693","126.92088322","250","5","250","5"
"214","1551387","경남아파트 앞 노상주차장(구)","영등포구 영등포동7가 56-0","19","유료","37.52442181","126.90227549","200","10","200","10"
"233","1544223","경남아파트 앞 노상주차장(구)","영등포구 당산동3가 56-0","7","유료","37.52456958","126.90209724","200","10","200","10"
"240","1545771","경도상가앞 노상주차장(구)","영등포구 여의도동 44-0","16","유료","37.51990257","126.93056312","1000","10","1000","10"
"256","1449826","경동고(구)","성북구 삼선동3가 43-1","124","유료","37.58574745","127.01498402","150","5","150","5"
"257","1451268","경복궁역 이륜차주차장(구)","종로구 내자동 67-2","5","무료","37.57623266","126.9723516","0","0","0","0"
"262","1448769","경부제3녹지공영주차장(구)","영등포구 신길동 69-39","143","유료","37.51357817","126.92346995","100","5","100","5"
"263","1564128","경호빌딩앞 노상주차장(구)","영등포구 여의도동 25-0","10","유료","37.52364898","126.92595523","1000","10","1000","10"
"273","1576344","고분다리 전통시장 공영주차장(구)","강동구 천호동 280-9","26","유료","37.54304932","127.13222357","150","5","150","5"
"274","173104","고척1동마을공동주차장(구)","구로구 고척동 52-54","88","유료","37.50228329","126.86393268","100","5","100","5"
"275","1431448","고척근린공원지하주차장(시)","구로구 고척동 9-14","199","유료","37.50559235","126.85197253","150","5","150","5"
"276","781512","곰달래 문화복지센터 공영주차장(구)","강서구 화곡동 890-0","245","유료","37.52904612","126.84886082","100","5","100","5"
"277","1542843","곰달래로5길 노상(구)","양천구 신월동 126-36","74","유료","37.53399445","126.83229217","300","10","300","10"
"351","172965","곰달래주차장(구)","양천구 신월동 226-9","107","유료","37.52954694","126.83606909","50","5","50","5"
"352","172840","공덕1-1 공영주차장(구)","마포구 공덕동 11-243","81","유료","37.54738044","126.9609133","1000","60","500","30"
"353","173001","공항동(송정역)(시)","강서구 공항동 42-8","11","유료","37.56034439","126.81066489","150","5","150","5"
"354","1577118","관악신사시장 공영주차장(구)","관악구 신림동 494-37","13","유료","37.48671865","126.91728163","150","5","150","5"
"355","1277158","광운대입구(구)","성북구 장위동 135-1","18","유료","37.61714694","127.05625181","100","5","100","5"
"356","172498","광운대입구주차장(시)","성북구 장위동 135-4","18","유료","37.61703576","127.05620911","600","30","200","10"
"357","172936","광장주차장(구)","양천구 목동 907-19","42","유료","37.53545496","126.87938194","150","5","150","5"
"358","1247661","광진광장공영(구)","광진구 군자동 374-7","36","유료","37.54770648","127.07326955","250","5","250","5"
"359","1451404","광화문빌딩(구)","종로구 당주동 40-9","16","유료","37.57159097","126.97384239","1000","10","1000","10"
"375","173685","교대역동측주차장(구)","서초구 서초동 1673-7","32","유료","37.49383778","127.01550867","800","10","800","10"
"376","1562530","교보생명 앞 노상주차장(구)","영등포구 당산동2가 71-0","26","유료","37.5216468","126.89161011","500","10","500","10"
"402","1551744","교보생명 앞 노상주차장(구)","영등포구 양평동1가 71-0","9","유료","37.52143768","126.89145923","500","10","500","10"
"411","1562399","교보생명옆 노상주차장(구)","영등포구 당산동2가 21-26","13","유료","37.52092673","126.8924706","300","10","300","10"
"424","172594","교통광장 공영주차장(구)","강북구 우이동 265-0","56","유료","37.66206284","127.00848322","200","5","200","5"
"425","173139","구로2동 마을공동주차장(구)","구로구 구로동 317-187","81","유료","37.4914815","126.88831207","100","5","100","5"
"426","173077","구로3동마을주차장(구)","구로구 구로동 797-1","20","유료","37.48502453","126.88844294","50","5","50","5"
"427","1432682","구로4동 주택가 공동 주차장(구)","구로구 구로동 741-44","198","유료","37.48968656","126.88695201","100","5","100","5"
"428","173073","구로5동마을공동주차장(구)","구로구 구로동 549-73","81","유료","37.50085864","126.88604808","100","5","100","5"
"429","173093","구로리공원지하주차장(구)","구로구 구로동 139-82","203","유료","37.4908967","126.89160489","150","5","150","5"
"430","984688","구로아트밸리 지하주차장(구)","구로구 구로동 102-0","245","유료","37.4969958","126.88959831","150","5","150","5"
"431","1415917","구룡 공영주차장(구)","금천구 시흥동 964-0","19","유료","37.47789414","126.90275504","65","5","65","5"
"432","173590","구룡공영주차빌딩(구)","서초구 양재동 301-6","107","유료","37.47419615","127.04595546","300","10","300","10"
