"","loc","go","ex"
"1","경기도 광주시 오포읍",19142,1405
"2","경기도 남양주시 진접읍",16620,3017
"3","경기도 남양주시 화도읍",14813,2856
"4","경기도 화성시 병점1동",13314,9724
"5","경기도 부천시 오정구 성곡동",12763,3828
"6","경기도 남양주시 별내면",12761,1723
"7","경기도 수원시 권선구 금호동",12635,714
"8","경기도 광주시 송정동",11676,1585
"9","경기도 화성시 봉담읍",11499,2247
"10","경기도 용인시 기흥구 동백동",11257,833
"11","경기도 남양주시 오남읍",11022,422
"12","경기도 화성시 동탄면",10862,1115
"13","경기도 수원시 권선구 서둔동",10528,4070
"14","경기도 안양시 동안구 관양1동",10465,2240
"15","경기도 하남시 신장2동",10146,936
"16","경기도 김포시 김포1동",9991,2438
"17","경기도 부천시 소사구 소사본3동",9918,407
"18","경기도 성남시 분당구 야탑2동",9916,589
"19","경기도 남양주시 와부읍",9862,1424
"20","경기도 의정부시 신곡1동",9799,970
"21","경기도 구리시 동구동",9732,2159
"22","경기도 수원시 팔달구 인계동",9634,2190
"23","경기도 안산시 단원구 원곡본동",9233,9312
"24","경기도 수원시 권선구 권선2동",9125,1156
"25","경기도 평택시 비전2동",9005,506
"26","경기도 광주시 경안동",8907,2949
"27","경기도 양주시 양주1동",8877,752
"28","경기도 의왕시 오전동",8818,979
"29","경기도 용인시 수지구 죽전1동",8638,1342
"30","경기도 의정부시 송산2동",8583,306
"31","경기도 수원시 장안구 영화동",8518,4072
"32","경기도 고양시 덕양구 행신2동",8325,482
"33","경기도 수원시 권선구 평동",8184,3697
"34","경기도 성남시 중원구 성남동",8015,9095
"35","경기도 군포시 군포2동",7935,1224
"36","경기도 안산시 단원구 초지동",7927,2515
"37","경기도 용인시 수지구 풍덕천2동",7924,2442
"38","경기도 시흥시 신천동",7911,1336
"39","경기도 오산시 대원동",7891,3423
"40","경기도 부천시 원미구 중1동",7887,4236
"41","경기도 화성시 동탄2동",7848,1774
"42","경기도 용인시 수지구 풍덕천1동",7840,1052
"43","경기도 수원시 영통구 영통2동",7830,3692
"44","경기도 고양시 일산서구 대화동",7757,7252
"45","경기도 성남시 중원구 금광2동",7703,5299
"46","경기도 부천시 오정구 고강본동",7691,596
"47","경기도 김포시 풍무동",7655,578
"48","경기도 성남시 중원구 하대원동",7645,1035
"49","경기도 오산시 신장동",7545,738
"50","경기도 남양주시 평내동",7494,904
"51","경기도 광주시 광남동",7419,827
"52","경기도 부천시 소사구 범박동",7369,402
"53","경기도 수원시 영통구 태장동",7341,3462
"54","경기도 용인시 기흥구 영덕동",7338,991
"55","경기도 광명시 소하2동",7314,1194
"56","경기도 용인시 수지구 상현2동",7160,274
"57","경기도 시흥시 연성동",7155,972
"58","경기도 시흥시 대야동",7087,624
"59","경기도 고양시 일산동구 백석1동",7057,2440
"60","경기도 수원시 권선구 세류2동",6906,1107
"61","경기도 부천시 오정구 원종1동",6874,647
"62","경기도 수원시 영통구 영통1동",6863,2063
"63","경기도 구리시 인창동",6861,3951
"64","경기도 성남시 분당구 정자1동",6736,4507
"65","경기도 안산시 단원구 와동",6734,120
"66","경기도 부천시 소사구 괴안동",6686,395
"67","경기도 성남시 중원구 은행2동",6617,604
"68","경기도 안산시 상록구 월피동",6537,310
"69","경기도 수원시 장안구 파장동",6513,903
"70","경기도 성남시 수정구 신흥2동",6483,4745
"71","경기도 부천시 원미구 상2동",6477,1026
"72","경기도 남양주시 진건읍",6468,1645
"73","경기도 안산시 상록구 본오1동",6432,488
"74","경기도 시흥시 정왕 1동",6413,1218
"75","경기도 성남시 중원구 상대원1동",6385,3494
"76","경기도 안양시 만안구 석수2동",6384,1043
"77","경기도 수원시 팔달구 화서1동",6376,576
"78","경기도 부천시 원미구 도당동",6350,506
"79","경기도 성남시 분당구 운중동",6338,1109
"80","경기도 의정부시 호원1동",6321,984
"81","경기도 성남시 수정구 복정동",6294,558
"82","경기도 수원시 장안구 정자1동",6201,585
"83","경기도 고양시 덕양구 관산동",6125,740
"84","경기도 광주시 초월읍",6063,808
"85","경기도 고양시 일산동구 중산동",6021,864
"86","경기도 부천시 소사구 송내2동",5982,310
"87","경기도 안산시 상록구 사1동",5979,900
"88","경기도 양주시 회천2동",5962,1022
"89","경기도 안양시 동안구 비산2동",5873,1550
"90","경기도 광명시 소하1동",5867,449
"91","경기도 안산시 상록구 본오2동",5846,351
"92","경기도 포천시 소흘읍",5824,1421
"93","경기도 구리시 교문2동",5813,180
"94","경기도 고양시 덕양구 고양동",5808,709
"95","경기도 시흥시 군자동",5792,928
"96","경기도 안성시 공도읍",5787,186
"97","경기도 남양주시 호평동",5732,490
"98","경기도 남양주시 도농동",5708,1385
"99","경기도 수원시 장안구 송죽동",5699,461
"100","경기도 수원시 장안구 정자3동",5689,360
"101","경기도 고양시 덕양구 행주동",5679,641
"102","경기도 안산시 단원구 선부3동",5634,1707
"103","경기도 파주시 금촌2동",5570,1069
"104","경기도 화성시 병점2동",5521,304
"105","경기도 수원시 권선구 구운동",5503,1518
"106","경기도 용인시 기흥구 구성동",5451,165
"107","경기도 수원시 팔달구 우만1동",5364,801
"108","경기도 구리시 수택3동",5357,792
"109","경기도 구리시 교문1동",5336,949
