"","new_loc","go","ex"
"1","수원시",206156,62136
"2","성남시",180182,80286
"3","부천시",162028,40119
"4","용인시",126787,24287
"5","고양시",123098,29038
"6","안양시",119664,44792
"7","남양주시",105423,17834
"8","안산시",105161,28711
"9","화성시",72344,18487
"10","시흥시",63481,11413
"11","광명시",57876,10709
"12","의정부시",56933,14501
"13","광주시",55797,7890
"14","구리시",42504,8789
"15","평택시",40421,8814
"16","군포시",38846,10154
"17","양주시",34407,9842
"18","김포시",33357,7559
"19","하남시",31209,4366
"20","의왕시",29823,7061
"21","오산시",24994,5562
"22","파주시",22021,5718
"23","안성시",16270,1856
"24","포천시",14737,2073
"25","이천시",12581,2194
"26","동두천시",5958,1512
"27","과천시",5318,3055
"28","연천군",3006,291
"29","양평군",2192,261
"30","가평군",1762,491
"31","여주시",22,2
