"","road_ID","Y","X"
"32312",3005060,37.560402,126.9327721
"32820",3005060,37.5609429,126.9414774
"33872",3005060,37.5665827,126.9465214
"34034",3005060,37.5665837,126.9246043
"34484",3005060,37.5677672,126.9184687
"34775",3005060,37.5613443,126.9425199
"35635",3005060,37.5607251,126.9327424
"35896",3005060,37.5639693,126.9306792
"35990",3005060,37.5664801,126.9267471
"36225",3005060,37.56669,126.9267566
"36395",3005060,37.5624798,126.930678
"36403",3005060,37.5661189,126.9386388
"36556",3005060,37.5669343,126.9214093
"36703",3005060,37.5625035,126.9306203
"36719",3005060,37.5671698,126.9203232
"36954",3005060,37.5656964,126.9255897
"37019",3005060,37.564472,126.9297546
"37061",3005060,37.5679871,126.9475847
"37356",3005060,37.5641372,126.9304653
"37769",3005060,37.5644324,126.9073159
"37869",3005060,37.5647882,126.9285909
"37950",3005060,37.5661712,126.9243195
"38015",3005060,37.5674665,126.9470601
"38203",3005060,37.5667871,126.9245076
"38219",3005060,37.5620003,126.9431724
"38234",3005060,37.5669225,126.9245935
"38361",3005060,37.5666042,126.9268232
"38683",3005060,37.5665232,126.9159973
"39752",3005060,37.5667409,126.9237755
"39997",3005060,37.5660341,126.9253344
"44290",3005060,37.5626435,126.9057808
"69282",3005060,37.563922,126.9077614
"463",3100005,37.5735371,126.9651553
"585",3100005,37.5737601,126.9649229
"654",3100005,37.5763449,126.9702698
"675",3100005,37.575894,126.9705992
"1469",3100005,37.576279,126.9738136
"1743",3100005,37.5761832,126.9734293
"1978",3100005,37.5761269,126.9739976
"2149",3100005,37.5762589,126.9717383
"2326",3100005,37.5722336,126.9621294
"2572",3100005,37.5741252,126.9698668
"2842",3100005,37.5740412,126.9665279
"2845",3100005,37.5721442,126.9621853
"3060",3100005,37.5762573,126.9719981
"3255",3100005,37.5740462,126.9670875
"4497",3100005,37.5762145,126.9729961
"4545",3100005,37.5726367,126.9634141
"65714",3100005,37.5760944,126.9731038
"65724",3100005,37.5721612,126.9624391
"66670",3100005,37.576289,126.970431
"3",3100012,37.5869804,126.9690947
"29",3100012,37.6000624,126.9601303
"132",3100012,37.5821242,126.9711895
"324",3100012,37.5967694,126.9642497
"325",3100012,37.5763786,126.9722593
"402",3100012,37.5826915,126.9707933
"440",3100012,37.5775507,126.9720201
"497",3100012,37.5817377,126.9706599
"809",3100012,37.5993798,126.9604997
"810",3100012,37.5987921,126.9601985
"898",3100012,37.5854796,126.9704333
"903",3100012,37.5787397,126.9713217
"912",3100012,37.5970773,126.9641918
"976",3100012,37.5975987,126.9635084
"1005",3100012,37.582486,126.9709207
"1022",3100012,37.5991635,126.9608503
"1074",3100012,37.5871486,126.9690757
"1100",3100012,37.5965686,126.9637541
"1101",3100012,37.5791608,126.9712496
"1102",3100012,37.5826806,126.9702056
"1103",3100012,37.5863583,126.9695399
"1283",3100012,37.5810874,126.9707834
"1305",3100012,37.5790238,126.9712794
"1470",3100012,37.5862818,126.9695666
"1660",3100012,37.5979378,126.9619263
"2162",3100012,37.5870173,126.9686947
"2247",3100012,37.6001054,126.9595157
"2647",3100012,37.582218,126.9712247
"3112",3100012,37.5997606,126.9599922
"3269",3100012,37.5997058,126.9596563
"3276",3100012,37.5849494,126.9700278
"3433",3100012,37.5988105,126.9602894
"4194",3100012,37.5867824,126.9696475
"4488",3100012,37.5879216,126.9652705
"4691",3100012,37.5876994,126.9688535
"66235",3100012,37.5843312,126.9698254
"66352",3100012,37.5820032,126.9712529
"66807",3100012,37.5770234,126.9722068
"67019",3100012,37.5821321,126.9704674
"262",3100010,37.5741362,127.0062522
"460",3100010,37.5737362,126.9946018
"481",3100010,37.576094,127.0001894
"515",3100010,37.57687,126.9856665
"764",3100010,37.5733899,127.0073118
"922",3100010,37.5756018,127.0041641
"923",3100010,37.5764777,127.0037272
"973",3100010,37.5762442,127.0036438
"1033",3100010,37.5740906,127.0066507
"1051",3100010,37.5745858,127.0057353
"1052",3100010,37.5764822,127.0027517
"1053",3100010,37.5751445,127.0057567
"1054",3100010,37.5744183,127.0063634
"1087",3100010,37.5724005,127.0078144
"1193",3100010,37.5759078,127.0047789
"1195",3100010,37.5752239,126.9818315
"1272",3100010,37.57623,126.9995816
"1384",3100010,37.5757656,127.0039891
"1390",3100010,37.5754025,126.9818161
"1578",3100010,37.5714339,127.0086182
"1641",3100010,37.5771354,126.9914391
"1789",3100010,37.5742685,127.0060319
"2013",3100010,37.5755569,126.9845533
"2043",3100010,37.5737658,127.0071828
"2139",3100010,37.5744534,127.0059381
"2357",3100010,37.5731956,127.0071331
"4074",3100010,37.5754622,127.0053891
"4075",3100010,37.5764769,127.0033975
"4076",3100010,37.5755168,127.0012709
"4258",3100010,37.5765125,126.9845853
"66736",3100010,37.5754973,126.9978991
"66968",3100010,37.5747543,127.0060878
"17",3005008,37.5828403,126.9981805
"44",3005008,37.5741798,126.9977733
"159",3005008,37.5825395,126.9984458
"184",3005008,37.5844576,126.9997577
"198",3005008,37.5826272,126.9979846
"233",3005008,37.5739452,126.9972125
"302",3005008,37.5754221,126.9972085
"457",3005008,37.5876919,127.0035824
"1205",3005008,37.5746153,126.9972275
"1274",3005008,37.5820545,126.9982626
"1320",3005008,37.587292,127.0025084
"1360",3005008,37.5736118,126.9971085
"1443",3005008,37.5846529,127.0008473
"1686",3005008,37.5736297,126.9968374
"1805",3005008,37.5766506,126.9974575
"2157",3005008,37.5822888,126.9989806
"2331",3005008,37.5832962,126.9995073
"2620",3005008,37.5680405,126.9985633
"2673",3005008,37.5723866,126.9984668
"2698",3005008,37.5647765,126.998669
"2718",3005008,37.5703197,126.9985732
"2736",3005008,37.5658193,126.9987525
"2809",3005008,37.5634036,126.9977984
