road_name,num_lanes_in,num_lanes_out,all_day_traffic_in,all_day_traffic_out,traffic_per_lane_in,traffic_per_lane_out,all_day_speed_in,all_day_speed_out,mor_speed_in,mor_speed_out,dt_speed_in,dt_speed_out,aft_speed_in,aft_speed_out,mor_speed_day_in,mor_speed_day_out,dt_speed_day_in,dt_speed_day_out,aft_speed_day_in,aft_speed_day_out,peak_traffic_in,peak_traffic_out,day_time_traffic_in,day_time_traffic_out,weekend_traffic_in,weekend_traffic_out,peak_traffic_day_in,peak_traffic_day_out,day_time_day_in,day_time_day_out,weekend_day_in,weekend_day_out,LON,LAN
동부간선도로,3,3,59840,58765,19946.66667,19588.33333,51.6,55.3,43.3,60.6,56.3,60.9,48.2,41.4,0.839147287,1.095840868,1.091085271,1.101265823,0.934108527,0.748643761,3095,3153,35105,31543,37620,36351,0.051721257,0.053654386,0.586647727,0.536765081,0.628676471,0.61858249,127.0712,37.6042
김포대로,4,3,28981,24514,7245.25,8171.333333,42.3,37.9,35.5,39.8,46.9,38.8,33.8,35.3,0.839243499,1.050131926,1.108747045,1.023746702,0.799054374,0.931398417,2157,1610,20660,16206,35798,33311,0.074428074,0.065676756,0.712880853,0.661091621,1.235223077,1.358856164,126.7983,37.5832
동소문로,3,3,31033,31521,10344.33333,10507,19.7,21.6,18.6,30,19,20.5,19.6,14.1,0.944162437,1.388888889,0.964467005,0.949074074,0.994923858,0.652777778,1951,1753,19072,17697,15503,14159,0.062868559,0.055613718,0.614571585,0.561435234,0.499564979,0.449192602,127.0211,37.5983
자하문로,2,2,18795,16894,9397.5,8447,26.5,30,25.8,35.4,23.7,28.1,27.8,26.8,0.973584906,1.18,0.894339623,0.936666667,1.049056604,0.893333333,1499,1313,12980,10154,28156,24646,0.079755254,0.077719901,0.690609205,0.60104179,1.498057994,1.458861134,126.9674,37.5892
성산로,4,4,43341,43889,10835.25,10972.25,28.3,28.2,28,33.2,27.6,29.6,28.4,19.8,0.989399293,1.177304965,0.975265018,1.04964539,1.003533569,0.70212766,2638,2840,28553,26905,26415,16087,0.060866154,0.064708697,0.658798828,0.613023764,0.609469094,0.366538313,126.9448,37.5642
경인로,4,3,24230,30391,6057.5,10130.33333,18.9,21.6,18.7,26.5,19.1,21.7,19.1,16.9,0.989417989,1.226851852,1.010582011,1.00462963,1.010582011,0.782407407,1375,1761,15174,18334,30970,33857,0.056747833,0.057944786,0.626248452,0.603270705,1.278167561,1.114046922,126.9041,37.5157
경춘북로,3,3,27676,19196,9225.333333,6398.666667,33.5,38.3,33.2,38.5,35.2,37.6,29.5,36.8,0.991044776,1.005221932,1.050746269,0.981723238,0.880597015,0.960835509,2245,1399,19505,13099,20935,12243,0.081117213,0.072879767,0.704762249,0.682381746,0.756431565,0.637789123,127.1035,37.6183
평창문화로,2,2,23254,15407,11627,7703.5,31.4,37.8,31.4,40.6,32.7,38.4,27.7,33.5,1,1.074074074,1.041401274,1.015873016,0.882165605,0.886243386,1556,1134,15593,10754,31872,29888,0.066913219,0.073602908,0.670551303,0.697994418,1.370602907,1.939897449,126.9728,37.6073
사직로,3,3,43452,37770,14484,12590,27.8,27.7,28,30.8,27.3,27.9,26.8,24.1,1.007194245,1.111913357,0.982014388,1.007220217,0.964028777,0.870036101,2990,2278,29612,23664,20331,26016,0.068811562,0.060312417,0.681487619,0.626528991,0.467895609,0.688800635,126.9707,37.5757
동일로,3,3,40513,35672,13504.33333,11890.66667,25,26.4,25.4,30.4,25.8,27.2,22.8,22,1.016,1.151515152,1.032,1.03030303,0.912,0.833333333,2482,1985,23159,21942,14306,15220,0.061264286,0.055645885,0.57164367,0.615104283,0.35312122,0.426665172,127.0663,37.5464
화곡로,3,3,21897,18941,7299,6313.666667,23.9,24.3,24.3,27.4,24.2,27.4,22.1,17.5,1.016736402,1.127572016,1.012552301,1.127572016,0.924686192,0.720164609,1197,1104,13920,12351,10545,9392,0.054665023,0.058286257,0.635703521,0.652077504,0.481572818,0.495855551,126.8624,37.5712
밤고개로,4,4,17077,19839,4269.25,4959.75,29.3,32,29.9,33.1,31,33.1,24.5,28.1,1.020477816,1.034375,1.058020478,1.034375,0.836177474,0.878125,1449,1478,12554,14387,18118,21929,0.084850969,0.074499723,0.735140833,0.725187761,1.060959185,1.105348052,127.1056,37.4781
여의대방로,4,4,45479,48345,11369.75,12086.25,26.5,27.7,27.2,32.3,25.7,28.8,24.6,21.6,1.026415094,1.166064982,0.969811321,1.039711191,0.928301887,0.779783394,2724,3294,29615,29838,20973,13461,0.059895776,0.068135278,0.651179665,0.617188954,0.461157897,0.27843624,126.9502,37.5294
연희로,3,3,20616,20334,6872,6778,23.2,21.5,24.2,24.7,22.8,22.1,21.7,17.9,1.043103448,1.148837209,0.982758621,1.027906977,0.935344828,0.83255814,1299,1132,12600,12671,18760,17084,0.063009313,0.055670306,0.611175786,0.623143503,0.909972837,0.840169175,126.9348,37.5743
통일로,3,3,38027,33450,12675.66667,11150,22.3,23.8,23.3,28.1,22.2,23.6,20.1,19.6,1.044843049,1.180672269,0.995515695,0.991596639,0.901345291,0.823529412,2107,1932,22561,18173,24151,17385,0.055408,0.057757848,0.593288979,0.54328849,0.635101375,0.519730942,126.97,37.5614
영등포로,3,3,30872,32750,10290.66667,10916.66667,22.3,25.3,23.4,29.9,21.7,25.7,21.6,21.5,1.049327354,1.181818182,0.97309417,1.015810277,0.968609865,0.849802372,2056,2453,20815,21140,32963,35134,0.066597564,0.074900763,0.674235553,0.645496183,1.067731278,1.072793893,126.9028,37.5201
남부순환로,4,4,49548,48308,12387,12077,27.1,27.2,28.6,30.6,27.8,28.6,23.2,22.1,1.055350554,1.125,1.025830258,1.051470588,0.856088561,0.8125,3231,2953,33134,30061,37291,20707,0.065209494,0.061128592,0.668725276,0.622277884,0.752623718,0.428645359,126.9758,37.4764
문성로,2,2,9508,10223,4754,5111.5,24.4,23.4,26.5,25.6,24.7,24.1,22,19.6,1.086065574,1.094017094,1.012295082,1.02991453,0.901639344,0.837606838,559,628,6047,6441,27977,29405,0.058792596,0.061430109,0.635990745,0.630049888,2.942469499,2.876357234,126.922,37.4786
오리로,2,2,16119,14459,8059.5,7229.5,28.8,28.2,31.3,24,31.5,29.5,20.7,28.1,1.086805556,0.85106383,1.09375,1.046099291,0.71875,0.996453901,1110,940,10760,9688,23856,24583,0.068862833,0.065011412,0.667535207,0.670032506,1.479992555,1.700186735,126.8785,37.4441
화랑로,3,4,40066,22249,13355.33333,5562.25,27.6,26.5,30,27.4,28.5,26.6,23,22.9,1.086956522,1.033962264,1.032608696,1.003773585,0.833333333,0.864150943,2249,1284,25100,13162,38633,33889,0.056132382,0.057710459,0.626466331,0.59157715,0.964234014,1.523169581,127.0519,37.6086
창경궁로,4,2,28398,16999,7099.5,8499.5,20.7,23.7,22.6,29.8,18.9,23.7,19.1,18.7,1.09178744,1.257383966,0.913043478,1,0.922705314,0.789029536,2157,1039,18235,9715,63537,75443,0.075956053,0.061121242,0.642122685,0.571504206,2.237375872,4.438084593,126.9982,37.5655
백제고분로,4,3,22178,19676,5544.5,6558.666667,20.9,20,23.2,23.2,20.6,19.5,19.1,17.8,1.110047847,1.16,0.985645933,0.975,0.913875598,0.89,1310,1316,13706,13797,38670,33478,0.059067544,0.066883513,0.61799982,0.701209595,1.743619803,1.701463712,127.0952,37.5025
천호대로,6,6,37259,41204,6209.833333,6867.333333,26.6,26.3,29.6,29.1,26.7,26.2,22.7,22.4,1.112781955,1.106463878,1.003759398,0.996197719,0.853383459,0.851711027,2555,2710,25835,29305,15458,13707,0.068574036,0.065770314,0.693389517,0.711217358,0.414879626,0.332661877,127.0488,37.5697
망우로,3,3,19438,18067,6479.333333,6022.333333,22,22.2,24.5,28.1,21.5,21.7,19.9,16.9,1.113636364,1.265765766,0.977272727,0.977477477,0.904545455,0.761261261,1442,1231,12787,12389,19690,20717,0.074184587,0.068135274,0.657835168,0.685725356,1.012964297,1.146676261,127.0623,37.5893
도봉로,4,3,25340,25873,6335,8624.333333,22.6,22.7,25.2,26.8,22.9,22.2,19.5,19.5,1.115044248,1.18061674,1.013274336,0.977973568,0.862831858,0.859030837,1510,1406,16244,15585,19903,16690,0.059589582,0.054342365,0.641041831,0.6023654,0.785438043,0.645074015,127.0302,37.6107
금하로,3,3,19723,14738,6574.333333,4912.666667,19.2,19,21.6,20.9,19.6,18.9,17.1,16.7,1.125,1.1,1.020833333,0.994736842,0.890625,0.878947368,1341,906,14108,10116,47349,49681,0.067991685,0.061473741,0.715307002,0.686388927,2.400699691,3.370945854,126.9068,37.4523
동호로,2,2,35517,34829,17758.5,17414.5,22.2,24,25,29.2,20.1,24,20.3,18.1,1.126126126,1.216666667,0.905405405,1,0.914414414,0.754166667,2142,2018,23851,22520,22139,18330,0.060309148,0.057940222,0.671537574,0.646587614,0.623335304,0.526285567,127.0014,37.5703
서빙고로,3,4,51288,44410,17096,11102.5,31,35.5,35.1,39.3,32.8,36.2,22.1,30.9,1.132258065,1.107042254,1.058064516,1.01971831,0.712903226,0.870422535,2968,2687,32764,28730,23108,27999,0.057869287,0.060504391,0.638823896,0.646926368,0.450553736,0.630466111,126.9922,37.5203
뚝섬로,2,2,35873,35895,17936.5,17947.5,20.3,21.6,23.2,25.6,20.9,21.8,17.1,18.4,1.142857143,1.185185185,1.02955665,1.009259259,0.842364532,0.851851852,2537,2199,25525,23104,24233,22922,0.070721713,0.061262014,0.711537925,0.643655105,0.67552198,0.638584761,127.0474,37.5407
