,road_name,x,y
0,성산로,126.9448,37.5642
1,사직로,126.9707,37.5757
2,자하문로,126.9674,37.5892
3,율곡로,126.9962,37.5762
4,창경궁로,126.9982,37.5655
5,종로,127.0006,37.5709
6,퇴계로,126.9978,37.5615
7,동호로,127.0014,37.5703
8,장충단로,127.0058,37.5599
9,세종대로,126.9753,37.5628
10,을지로,126.9947,37.5664
11,소파로,126.985,37.5569
12,진흥로,126.9566,37.6077
13,평창문화로,126.9728,37.6073
14,망우로,127.0623,37.5893
15,경춘북로,127.1035,37.6183
16,천호대로,127.0488,37.5697
17,화랑로,127.0519,37.6086
18,동소문로,127.0211,37.5983
19,도봉로,127.0302,37.6107
20,동일로,127.0663,37.5464
21,분당수서로,127.0759,37.5009
22,통일로,126.97,37.5614
23,오리로,126.8785,37.4441
24,연희로,126.9348,37.5743
25,금하로,126.9068,37.4523
26,남부순환로,126.9758,37.4764
27,화곡로,126.8624,37.5712
28,경인로,126.9041,37.5157
29,김포대로,126.7983,37.5832
30,강서로,126.838,37.554
31,영등포로,126.9028,37.5201
32,서빙고로,126.9922,37.5203
33,뚝섬로,127.0474,37.5407
34,동부간선도로,127.0712,37.6042
35,여의대방로,126.9502,37.5294
36,문성로,126.922,37.4786
37,강남대로,127.0111,37.5292
38,사평대로,127.0043,37.5025
39,반포대로,126.995,37.5177
40,언주로,127.0436,37.502
41,밤고개로,127.1056,37.4781
42,테헤란로,127.0474,37.504
43,백제고분로,127.0952,37.5025
